"species","frequency_wc","freq"
"Buglossoides purpurocaerulea","-1.921","78"
"Bunias orientalis","-0.232","42"
"Bupleurum falcatum","-1.337","488"
"Butomus umbellatus","-0.637","287"
"Calamagrostis arundinacea","-1.902","1099"
"Calamagrostis canescens","-1.193","315"
"Calamagrostis epigejos","-1.228","1098"
"Calamagrostis pseudophragmites","-0.621","35"
"Calamagrostis villosa","-1.74","988"
"Calla palustris","-1.07","88"
"Callitriche hamulata","-0.581","139"
"Callitriche palustris agg.","-0.577","549"
"Calluna vulgaris","-1.678","886"
"Caltha palustris","-1.103","1840"
"Calystegia sepium","-0.722","761"
"Camelina microcarpa","0.033","65"
"Campanula bohemica","-0.525","63"
"Campanula bononiensis","-1.656","29"
"Campanula glomerata","-1.079","204"
"Campanula latifolia","-1.717","22"
"Campanula patula","-0.451","1110"
"Campanula persicifolia","-1.881","707"
"Campanula rapunculoides","-1.614","1009"
"Campanula rotundifolia agg.","-1.289","1047"
"Campanula sibirica","-0.09","52"
"Campanula trachelium","-1.902","778"
"Capsella bursa-pastoris","0.155","1947"
"Cardamine amara ssp. amara","-1.382","732"
"Cardamine flexuosa","-1.685","73"
"Cardamine hirsuta","-0.385","22"
"Cardamine impatiens","-1.934","252"
"Cardamine matthioli","-0.253","43"
"Cardamine pratensis","-0.459","1304"
"Carduus acanthoides","-0.374","461"
"Carduus crispus","-0.957","289"
"Carduus nutans","-0.529","67"
"Carduus personata","-1.235","78"
"Carex acuta","-0.751","1284"
"Carex acutiformis","-1.073","401"
"Carex appropinquata","-0.514","60"
"Carex bigelowii ssp. dacica","-1.101","61"
"Carex bohemica","-0.385","364"
"Carex brizoides","-1.627","593"
"Carex buekii","-0.815","97"
"Carex canescens","-1.236","532"
"Carex caryophyllea","-0.87","383"
"Carex cespitosa","-0.744","149"
"Carex davalliana","-0.677","169"
"Carex demissa","-0.701","135"
"Carex diandra","-0.674","128"
"Carex digitata","-1.966","598"
"Carex dioica","-0.823","38"
"Carex distans","-0.272","69"
"Carex disticha","-0.543","174"
"Carex echinata","-1.032","705"
"Carex elata","-0.918","140"
"Carex elongata","-1.557","124"
"Carex flacca","-0.794","408"
"Carex flava","-0.579","296"
"Carex hartmanii","-0.395","99"
"Carex hirta","-0.435","760"
"Carex humilis","-1.212","565"
"Carex lasiocarpa","-0.934","91"
"Carex leporina","-0.832","475"
"Carex limosa","-1.251","74"
"Carex michelii","-1.612","101"
"Carex montana","-1.852","359"
"Carex muricata agg.","-1.718","431"
"Carex nigra","-0.923","1639"
"Carex otrubae","-0.609","61"
"Carex pallescens","-1.115","695"
"Carex panicea","-0.522","1385"
"Carex paniculata","-1.096","113"
"Carex pauciflora","-1.885","86"
"Carex pendula","-1.54","52"
"Carex pilosa","-1.988","449"
"Carex pilulifera","-1.593","554"
"Carex praecox","-0.693","154"
"Carex pseudocyperus","-0.868","133"
"Carex pulicaris","-0.58","115"
"Carex remota","-1.715","402"
"Carex riparia","-0.917","318"
"Carex rostrata","-0.903","1032"
"Carex secalina","-0.1","31"
"Carex supina","-0.479","100"
"Carex sylvatica","-1.905","795"
"Carex tomentosa","-0.471","181"
"Carex umbrosa","-1.273","51"
"Carex vesicaria","-0.815","721"
"Carex vulpina","-0.498","219"
"Carlina acaulis","-0.351","552"
"Carlina vulgaris agg.","-0.704","282"
"Carpinus betulus","-1.969","1233"
"Carum carvi","-0.055","175"
"Caucalis platycarpos","0.118","70"
"Centaurea cyanus","0.508","422"
"Centaurea jacea","-0.3","1358"
"Centaurea phrygia agg.","-0.588","46"
"Centaurea scabiosa","-0.69","647"
"Centaurea stoebe","-0.497","682"
"Centaurea triumfetti","-1.365","95"
"Centaurium erythraea","-0.744","48"
"Centaurium pulchellum","-0.511","47"
"Cephalanthera damasonium","-1.976","70"
"Cephalanthera longifolia","-1.983","52"
"Cerastium arvense","-0.602","450"
"Cerastium dubium","-0.14","21"
"Cerastium glomeratum","-0.433","34"
"Cerastium holosteoides ssp. vulgare","-0.225","1806"
"Cerastium lucorum","-1.01","77"
"Cerastium pumilum agg.","0.008","74"
"Cerastium semidecandrum","-0.162","54"
"Ceratophyllum demersum","-0.298","644"
"Ceratophyllum submersum","-0.309","78"
"Cerinthe minor","-0.175","31"
"Chaerophyllum aromaticum","-1.123","614"
"Chaerophyllum aureum","-0.735","87"
"Chaerophyllum bulbosum","-0.771","127"
"Chaerophyllum hirsutum","-1.377","1144"
"Chaerophyllum temulum","-1.674","351"
"Chamaecytisus austriacus","0","27"
"Chamaecytisus ratisbonensis","-0.814","86"
"Chamaecytisus supinus","-1.519","50"
"Chamaecytisus virescens","-0.797","26"
"Chara globularis","-0.516","43"
"Chara vulgaris","-0.511","87"
"Chelidonium majus","-1.395","748"
"Chenopodium album agg.","-0.054","2217"
"Chenopodium bonus-henricus","-0.466","115"
"Chenopodium ficifolium","0.101","154"
"Chenopodium glaucum","0.046","191"
"Chenopodium hybridum","-0.248","231"
"Chenopodium polyspermum","-0.013","486"
"Chenopodium rubrum","-0.15","149"
"Chondrilla juncea","-0.766","42"
"Chrysosplenium alternifolium","-1.646","513"
"Chrysosplenium oppositifolium","-1.636","60"
"Cicerbita alpina","-1.622","112"
"Cichorium intybus","-0.169","266"
"Cicuta virosa","-1.067","74"
"Circaea alpina","-1.842","144"
"Circaea lutetiana","-1.908","442"
"Circaea x intermedia","-1.832","100"
"Cirsium acaulon","-0.533","259"
"Cirsium arvense","-0.298","2894"
"Cirsium canum","-0.257","451"
"Cirsium eriophorum","-0.233","44"
"Cirsium heterophyllum","-1.002","211"
"Cirsium oleraceum","-1.135","1232"
"Cirsium palustre","-0.874","1724"
"Cirsium pannonicum","-0.71","106"
"Cirsium rivulare","-0.413","543"
"Cirsium vulgare","-0.714","298"
"Clematis recta","-1.697","73"
"Clematis vitalba","-1.537","53"
"Clinopodium vulgare","-1.716","462"
"Cnidium dubium","-0.505","56"
"Colchicum autumnale","-1.092","516"
"Coleanthus subtilis","-0.071","101"
"Comarum palustre","-0.835","499"
"Conium maculatum","-0.623","72"
"Conringia orientalis","0.523","38"
"Consolida regalis","0.188","361"
